datetime,open,high,low,close,volume,trades
1639785600,46144.9,46339.8,45780.9,46328.5,5.39307909,112
1639789200,46313.7,46338.3,45651.2,45651.2,14.80623161,101
1639792800,45650.0,45946.1,45525.0,45708.4,2.39089615,67
1639796400,45749.6,46502.4,45690.4,46319.7,3.39831968,84
1639800000,46198.8,46432.6,46103.2,46432.6,0.73378869,29
1639803600,46389.1,46839.0,46221.0,46626.5,5.43748888,78
1639807200,46622.1,46747.5,46307.6,46307.6,0.26964326,36
1639810800,46344.8,46415.9,46344.8,46388.3,3.3064273,57
1639814400,46358.9,46629.8,46234.1,46338.6,4.68134422,97
1639818000,46352.2,46806.4,46352.2,46800.2,31.99402105,204
1639821600,46830.9,47302.8,46711.4,47302.8,3.02655537,146
1639825200,47330.1,47336.2,46979.7,47079.9,11.88549558,106
1639828800,47084.1,47153.7,46906.6,46993.6,10.15799237,144
1639832400,47021.5,47088.1,46600.0,46606.5,4.86282981,118
1639836000,46635.5,47034.7,46635.5,46994.9,11.77070344,80
1639839600,47005.3,47176.2,46843.4,46866.4,1.50861668,76
1639843200,46869.9,46956.6,46766.4,46833.0,0.82884381,55
1639846800,46800.0,46833.1,46621.8,46653.2,125.23854246,400
1639850400,46656.0,46700.0,46656.0,46700.0,144.88837395,660
1639854000,46700.0,46700.0,46369.1,46645.2,39.44455793,153
1639857600,46645.0,46840.0,46546.3,46840.0,24.66115601,120
1639861200,46840.0,46962.3,46775.5,46899.2,4.84456434,77
1639864800,46940.4,47073.6,46786.0,46786.0,1.3301039,71
1639868400,46740.3,46980.9,46657.5,46826.7,2.0895567,46
1639872000,46785.2,46864.2,46582.6,46670.8,1.17226225,40
1639875600,46662.7,46778.0,46464.0,46582.9,1.88713829,47
1639879200,46643.7,47138.9,46597.7,47138.9,1.67559839,55
1639882800,47139.0,47924.8,47139.0,47700.1,8.08138798,227
1639886400,47702.1,48017.3,47702.1,47970.1,3.45475268,80
1639890000,47906.1,47973.2,47614.7,47614.7,1.84687166,40
1639893600,47610.9,47627.0,47477.5,47477.5,1.1503024,42
1639897200,47473.7,47703.4,47454.0,47507.3,1.03398162,43
1639900800,47567.6,47598.7,47442.5,47470.7,1.28154865,51
1639904400,47507.0,47533.2,47044.8,47119.2,4.37648578,119
1639908000,47094.1,47199.9,46852.1,47129.2,1.68360801,72
1639911600,47122.6,47166.2,46958.7,47133.9,102.70812787,486
1639915200,47157.0,47248.8,46920.3,47248.8,0.80678091,52
1639918800,47252.6,47692.3,46914.5,47625.1,5.5134599,143
1639922400,47669.3,48265.4,47044.7,47352.6,14.87665619,361
1639926000,47461.3,47461.3,47171.2,47192.4,1.80462643,67
1639929600,47223.7,47379.1,47140.6,47166.1,4.38345075,66
1639933200,47209.5,47217.8,47044.7,47078.7,2.70366775,69
1639936800,47089.1,47114.7,46900.2,47101.0,2.39088718,105
1639940400,47103.8,47139.0,46509.7,46679.5,163.47169038,631
1639944000,46594.9,46865.0,46537.0,46793.7,4.53224919,55
1639947600,46793.7,46856.3,46667.9,46693.5,1.27168998,50
1639951200,46679.4,47519.4,46679.4,47309.9,2.88392407,115
1639954800,47332.0,47334.1,46645.9,46683.1,1.13005462,92
1639958400,46600.9,46885.7,46234.4,46885.7,7.40324039,132
1639962000,46899.7,47149.6,46525.3,46745.5,4.33650407,89
1639965600,46610.5,46763.3,46499.6,46644.2,0.16387091,24
1639969200,46805.4,46805.4,46521.1,46678.3,0.26801448,23
1639972800,46722.9,47015.7,46722.9,46979.1,1.52400211,43
1639976400,46971.3,47016.2,46428.8,46428.8,1.03181719,59
1639980000,46423.4,46610.3,46278.7,46580.9,2.82565535,74
1639983600,46525.6,46535.1,46162.8,46449.6,4.70445007,90
1639987200,46434.3,46552.8,46171.2,46269.9,8.24162301,107
1639990800,46236.6,46270.0,45862.6,45885.7,5.08135025,164
1639994400,45858.5,46100.0,45842.1,45849.9,8.84182025,129
1639998000,45830.7,46116.9,45830.7,46092.5,18.30029862,146
1640001600,46091.7,46092.9,45634.4,45733.0,16.79820409,183
1640005200,45733.0,45925.4,45604.1,45722.7,144.45578673,581
1640008800,45714.6,46264.7,45590.0,46188.0,645.47613489,5432
1640012400,46130.5,46256.9,45959.1,45959.1,27.88931737,190
1640016000,45959.2,46500.1,45854.3,46375.5,10.04118441,159
1640019600,46305.7,46486.6,46115.7,46120.5,5.15270719,352
1640023200,46131.6,46301.1,46044.8,46254.5,36.76897889,206
1640026800,46250.2,46661.2,46250.2,46587.7,3.2972827,183
1640030400,46622.3,47210.5,46622.3,47045.4,17.73499295,232
1640034000,47031.1,47480.0,46996.4,46996.5,21.62928557,288
1640037600,47079.8,47108.2,46786.8,46808.6,3.67757505,96
1640041200,46778.7,47109.9,46778.7,46874.1,25.45798175,117
1640044800,46921.7,47061.4,46770.3,46770.3,1.57524818,52
1640048400,46792.1,46967.6,46662.5,46903.0,4.9765917,44
1640052000,46975.2,47018.8,46890.7,46909.3,4.09921295,52
1640055600,46942.2,48032.7,46942.2,47947.0,22.28828207,329
1640059200,48048.1,48792.0,48048.1,48547.5,6.47699647,234
1640062800,48625.4,48760.6,48316.4,48612.1,7.79987464,89
1640066400,48601.3,48630.5,48352.2,48539.0,5.13737299,89
1640070000,48548.6,48644.6,48429.5,48550.0,10.40968914,114
1640073600,48541.0,48948.2,48540.1,48551.3,16.15983149,182
1640077200,48551.3,48650.0,48465.3,48587.8,18.38874201,219
1640080800,48589.1,48725.0,48579.3,48657.5,7.20210449,109
1640084400,48653.7,48878.6,48653.7,48878.6,14.92856697,129
1640088000,48866.0,49304.3,48724.9,48724.9,13.63294789,243
1640091600,48749.9,48932.5,48622.0,48932.5,14.56899517,161
1640095200,48957.3,48973.8,48582.3,48605.3,12.92102481,130
1640098800,48656.8,48754.1,48312.9,48451.9,33.97043011,212
1640102400,48430.1,48716.2,48416.7,48671.8,46.03717081,185
